Lobbying Firm,Client Prefix,Client First Name,Client Middle,Client Last Name,Client Suffix,Report Quarter,Report Year,Project,Reference Number,Reference Number Type,Project Location,City Agencies Lobbied,Lobbying Firm Quarterly Report
Handelman Consulting Inc,,,,Clarett West Development,,2,2013,Taft Building,20012-2355,APC,1680 N. Vine,"City Council (incl. Districts and Committees) | Neighborhood Councils | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15604
Handelman Consulting Inc,,,,Indigo Hotels,,2,2013,1841 Highland Hotel,2009-3461,APC,1841 Highland Ave-Hollywood,"City Council (incl. Districts and Committees) | Neighborhood Councils | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15604
Handelman Consulting Inc,,,,On The Thirty,,2,2013,On The Thirty,,,14622 Ventura Blvd.,City Council (incl. Districts and Committees) | Neighborhood Councils,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15604
Handelman Consulting Inc,,,,Property Development Centers,,2,2013,Vons-Figueroa Plaza,,,7311 N. Figueroa,"City Council (incl. Districts and Committees) | Neighborhood Councils | Planning, City | Public Works, Engineering | Transportation (LADOT, DOT)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15604
Handelman Consulting Inc,,,,Target,,2,2013,City Target,2011-2401,APC,10861 Weyburn AVe,"City Council (incl. Districts and Committees) | Neighborhood Councils | Planning, City | Police (LAPD)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15604
Handelman Consulting Inc,,,,The Robert Green Company,,2,2013,1800 N. Argyle,2007-1178,APC,1800-1802 Argyle/6221-6223 Yucca,"City Council (incl. Districts and Committees) | Neighborhood Councils | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15604
"Riverview Capital Investments, Inc.",,,,SunPower Corporation,,2,2013,Beacon/Bundled Solar Project,,,,City Council (incl. Districts and Committees) | Water & Power (DWP),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15547
"Urban Solutions, LLC",,,,"Carmel Partners, Inc.",,2,2013,Mixed Use Project,12-0444,APC,8th & Grand,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15610
"Urban Solutions, LLC",,,,"NBCUniversal Media, LLC",,2,2013,NBCUniversal Evolution Plan,12-1657,APC,Universal City,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15610
"Urban Solutions, LLC",,,,City Market of Los Angeles,,2,2013,Mixed Use Project/Master Plan,2013-4050,APC,11th & San Pedro,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15610
"Urban Solutions, LLC",,,,Logan Capital Advisors,,2,2013,"TEFRA Hearing, Alexandria Hotel",12-0780-S2,APC,501 S. Spring Street,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15610
"Urban Solutions, LLC",,,,Anastasi Development Company,,2,2013,Proposed Residential Project,,,Washington & Oak,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15610
"Urban Solutions, LLC",,,,"Astani Enterprises, Inc.",,2,2013,Mixed Use Project,13-0489,APC,12th & Grand,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15610
"Urban Solutions, LLC",,,,"Astani Enterprises, Inc.",,2,2013,Mixed Use Project,13-0761,APC,1501 Wilshire Blvd.,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15610
"Urban Solutions, LLC",,,,"Astani Enterprises, Inc.",,2,2013,Mixed Use Project ,2012-3534,APC,5550 Hollywood Blvd.,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15610
"Urban Solutions, LLC",,,,Los Angeles Chinatown Business Council,,2,2013,General Government Affairs re: Chinatown,,,,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15610
"Urban Solutions, LLC",,,,Clear Channel Outdoor,,2,2013,Digital Signage,12-1611,APC,,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15610
"Urban Solutions, LLC",,,,Delson Investment Company,,2,2013,Parking Structure,,,1159 W. Huntley Drive,"Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15610
"Urban Solutions, LLC",,,,Chrysler Group Realty Company LLC,,2,2013,Chrysler Dealership/Street Vacation,07-3313,APC,2025 South Figueroa,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15610
"Urban Solutions, LLC",,,,Holland Residential,,2,2013,Mixed Use Projects,07-3825,APC,"6th & Bixel, 1111 Wilshire",City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15610
"Urban Solutions, LLC",,,,"LaeRoc Partners, Inc.",,2,2013,El Pueblo Visioning Plan,07-3859,APC,Olvera Street,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15610
"Urban Solutions, LLC",,,,"Modern Parking, Inc.",,2,2013,LA-DOT Parking Operator RFP,,,,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15610
"Urban Solutions, LLC",,,,Park Plaza Hotel,,2,2013,Facade Improvements,11-1156,APC,607 South Park View Street,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15610
"Urban Solutions, LLC",,,,Streetline Networks,,2,2013,Parking Technologies,,,,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15610
"Urban Solutions, LLC",,,,Urban Housing Communities,,2,2013,Proposed Affordable Housing Project,,,"Amigo Avenue, Reseda",,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15610
"Urban Solutions, LLC",,,,Urban Housing Communities,,2,2013,Proposed Affordable Housing Project,,,29th Street,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15610
"Urban Solutions, LLC",,,,Urban Housing Communities,,2,2013,Proposed Affordable Housing Project,,,"Panorama Tower, Panorama City",,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15610
"Urban Solutions, LLC",,,,American Communities,,2,2013,Affordable Housing Project,12-1915,APC,1907 W. 6th Street,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15610
"Kelly Crane Law, LLP",,,,JCDecaux Airport; Inc,,2,2013,Advertising Contract,n/a,,LAX,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15613
Alan I. Rothenberg,,,,"Kelly Crane Law, LLP on behalf of JCDecaux Airport, Inc.",,2,2013,Advertising Contract,,,LAX,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15615
"Rosenheim & Associates, Inc.",,,,A Community of Friends,,2,2013,Beverly Commonwealth Apartments (RAA No. 12-797),,,"3314-3330 West Beverly Boulevad, Rampart Village","City Council (incl. Districts and Committees) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15630
"Rosenheim & Associates, Inc.",,,,"Agora Realty & Management, Inc.",,2,2013,"Mason & Devonshire, Northridge (RAA NO. 12-784",,,"10364 and 10366 Mason Avenue, Chatsworth","Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15630
"Rosenheim & Associates, Inc.",,,,Avalon Bay Communities Inc,,2,2013,Matsu A & B - Map Modifications and Parcel Developments (RAA No. 12-743) ,,," Matsu A & B, Little Tokyo","Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15630
"Rosenheim & Associates, Inc.",,,,Avalon Bay Communities Inc,,2,2013,Block 8 Matsu A & B - Conditional Use/Master Alcohol Permit (RAA No. 12-771) ,,," Block 8, Parcels A & B, Little Tokyo","Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15630
"Rosenheim & Associates, Inc.",,,,Boston Global Investors (BGI),,2,2013,Victory Blvd. & Canoga Ave. - Warner Center (RAA No. 10-593) ,,, Victory Blvd. & Canoga Ave. - Warner Center,"City Council (incl. Districts and Committees) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15630
"Rosenheim & Associates, Inc.",,,,Brentwood Capital Partners,,2,2013,"Sherman Place, West Hills (RAA No. 12-789) ",,," 23101 Sherman Place, West Hills","City Council (incl. Districts and Committees) | Building and Safety | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15630
"Rosenheim & Associates, Inc.",,,,Chabad of West Hills,,2,2013,"Hartland Drive, West Hills (RAA No. 12-790) ",,," 24384 Hartland Drive, West Hills","Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15630
"Rosenheim & Associates, Inc.",,,,"Chavez Realty Development, LLC",,2,2013,Stadium Way (RAA No. 08-454),,,"Stadium Way / Chavez Ravine, Central City North","City Council (incl. Districts and Committees) | Building and Safety | Planning, City | Public Works, Engineering",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15630
"Rosenheim & Associates, Inc.",Mr.,Avu,,Chokalingam,,2,2013,Silver Ridge - Silver Lake (RAA No. 13-838) ,,,"2326 & 2330 N. Silver Ridge Avenue, Silver Lake","Building and Safety | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15630
"Rosenheim & Associates, Inc.",,,,El Cortez Motel,,2,2013,"Sepulveda Boulevard & Halbrent Avenue, Van Nuys (RAA No. 13-808)",,,"5746-5750 Sepulveda Blvd., 5747-5751 Avenue, Van Nuys","Building and Safety | Planning, City | Public Works, Engineering",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15630
"Rosenheim & Associates, Inc.",,,,"En Pointe Investments, LLC",,2,2013,"Ventura Blvd., Studio City (RAA No. 13-814)",,,"11345 Ventura Blvd., Studio City","City Council (incl. Districts and Committees) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15630
"Rosenheim & Associates, Inc.",,,,EnGage Mediation,,2,2013,Prairie Street - Northridge,12-781,APC,"19555 West Prairie Street, Northridge","Building and Safety | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15630
"Rosenheim & Associates, Inc.",,,,"Esquire Law Firm, Inc.",,2,2013,Tujunga Canyon Blvd. - Tujunga (RAA No. 13-834) ,,," 10255 North Tujunga Canyon Boulevard, Tujunga, CA 91042","Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15630
"Rosenheim & Associates, Inc.",,,,"GK Ventures, LLC",,2,2013,"Ventura Blvd., Woodland Hills (RAA No. 12-803) ",,," 22737 Ventura Boulevard, Woodland Hills","Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15630
"Rosenheim & Associates, Inc.",,,,Hollywood Community Housing Corporation,,2,2013,Coronel Apartments (RAA No. 13-817) ,,, 1600-1608 N. Serrano Avenue; 1601-1605 N. Hobart Blvd.,"Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15630
"Rosenheim & Associates, Inc.",,,,"Hollywood Tow Service, Inc.",,2,2013,"Romaine Ave., Hollywood (RAA No. 12-778)",,,"7130-7136 Romaine Avenue, Hollywood","City Council (incl. Districts and Committees) | Neighborhood Councils | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15630
"Rosenheim & Associates, Inc.",,,,Holy Martyrs Armenian Elementary & Ferrahian High School,,2,2013,"Parthenia St., North Hills (RAA No. 10-612) ",,," 16617 Parthenia Street, North Hills","Neighborhood Councils | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15630
"Rosenheim & Associates, Inc.",,,,Iglesia de Cristo Emanuel Llamada Final,,2,2013,"Kester Ave., Van Nuys (RAA No. 13-811) ",,," 7735 Kester Avenue, Van Nuys","Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15630
"Rosenheim & Associates, Inc.",,,,"Investment Consultants, LLC",,2,2013,Medallion Project Revision (RAA No. 13-826) ,,," 334 South Main Street, Los Angeles","Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15630
"Rosenheim & Associates, Inc.",,,,Jewish Home for the Aging,,2,2013,"Tampa & Sherman Way, Reseda (RAA No. 12-739) ",,," 7143 and 7150 Tampa Avenue, 19300 Sherman Way, Reseda","City Council (incl. Districts and Committees) | Planning, City | Public Works, Engineering",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15630
"Rosenheim & Associates, Inc.",,,,"Linear City, LLC",,2,2013,Church & State Bistro (RAA No. 13-830) ,,," 1850 E. Industrial Street, Central City North","City Council (incl. Districts and Committees) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15630
"Rosenheim & Associates, Inc.",,,,"Linear City, LLC",,2,2013,Pour Haus Wine Bar (RAA No. 13-831) ,,," 1820 E. Industrial Street, Central City North","City Council (incl. Districts and Committees) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15630
"Rosenheim & Associates, Inc.",,Juliana,,Maio,,2,2013,"Gilcrest Dr., Los Angeles (RAA No. 12-733) ",,," 1500 Gilcrest Dr., Los Angeles","City Council (incl. Districts and Committees) | Building and Safety | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15630
"Rosenheim & Associates, Inc.",,,,McCormack Baron Salazar,,2,2013,Brooklyn Heights (RAA No. 13-843) ,,," 345 North Fickett Street, Boyle Heights","Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15630
"Rosenheim & Associates, Inc.",,,,McCormack Baron Salazar,,2,2013,Santa Cecilia (RAA No. 13-846) ,,," 1750 E. 1st Street, Boyle Heights","Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15630
"Rosenheim & Associates, Inc.",,,,"Metric Holdings, Inc.",,2,2013,Reseda Blvd. - Reseda (RAA No. 13-842) ,,," 6625 Reseda Boulevard, Reseda","City Council (incl. Districts and Committees) | Planning, City | Public Works, Engineering | Transportation (LADOT, DOT)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15630
"Rosenheim & Associates, Inc.",,,,"MREC Pinecrest, LLC",,2,2013,"Sherman Way, Van Nuys (RAA No. 12-799) ",,," 14111-14135 Sherman Way, Van Nuys",City Council (incl. Districts and Committees) | Recreation & Parks,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15630
"Rosenheim & Associates, Inc.",,,,Pacifica Montessori School,,2,2013,Grand View Blvd. - Mar Vista (RAA No. 13-816) ,,," 3590 South Grand View Boulevard, Mar Vista","Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15630
"Rosenheim & Associates, Inc.",Mr.,Mike,,Sacher,,2,2013,Cahuenga Blvd. - North Hollywood (RAA No. 12-757) ,,," 4945 N. Cahuenga Blvd., North Hollywood","City Council (incl. Districts and Committees) | Building and Safety | Neighborhood Councils | Planning, City | Public Works, Engineering",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15630
"Rosenheim & Associates, Inc.",,,,Shubin-Nadal Realty Investors,,2,2013,"Tyrone Ave, Hazeltine Ave - Van Nuys (RAA No. 12-749) ",,," 7600-7612 Tyrone Avenue, 7639-7641 Hazeltine Avenue, Van Nuys","City Council (incl. Districts and Committees) | Building and Safety | Planning, City | Transportation (LADOT, DOT)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15630
"Rosenheim & Associates, Inc.",,,,Somerset Group,,2,2013,Wilshire Blvd. & Coronado St. (RAA No. 05-245) ,,," Wilshire Blvd. & Coronado St., Los Angeles","Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15630
"Rosenheim & Associates, Inc.",,,,"Starpoint Property Management, LLC",,2,2013,Devonshire St. - Chatsworth (RAA No. 13-824) ,,," 21333-21357 Devonshire Street, Chatsworth",City Council (incl. Districts and Committees) | Neighborhood Councils,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15630
"Rosenheim & Associates, Inc.",,,,Taco Flame,,2,2013,Pico Blvd. - Los Angeles (RAA No. 13-827) ,,," 5450 West Pico Boulevard, Los Angeles",Building and Safety,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15630
"Rosenheim & Associates, Inc.",,,,"Telllus, LLC",,2,2013,"Woodman Ave, - Van Nuys (RAA No. 12-770) ",,," 6842 North Woodman Avenue, Van Nuys","Building and Safety | Fire (LAFD) | Planning, City | Transportation (LADOT, DOT) | Water & Power (DWP)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15630
"Rosenheim & Associates, Inc.",,,,The Hotel Cafe,,2,2013,Cahuenga Blvd. - Hollywood (RAA No. 12-780) ,,," 1623 Cahuenga Boulevard, Hollywood","Neighborhood Councils | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15630
