TAX PERIOD,NAICS,PRIMARY NAICS DESCRIPTION,LOCATION COUNT,TOTAL MEASURE
200900A,445100,Grocery stores (including supermarkets & convenience stores without gas),1476,$4739533760.00
201400A,541350,Building inspection services,122,$5913506.00
201100A,722211,Limited-service eating places,1157,$385282257.46
201000A,621399,Offices of all other miscellaneous health practitioners,2567,$898791395.45
200600A,235930,Excavation Contractors (1997 NAICS),42,$60989629.00
201000A,325100,Basic chemical mfg.,21,$10023689.25
201400A,423600,Electrical & electronic goods,1177,$1934180414.88
200900A,811310,Commercial & industrial machinery & equipment (except automotive & electronic) repair & maintenance,216,$115998357.00
201400A,561110,Office administrative services,1637,$812904197.88
201000A,335000,"Electrical equipment, appliance, & component mfg.",333,$108485966.00
201100A,424700,Petroleum & petroleum products,68,$1155157426.23
200700A,999999,Unclassified establishments (unable to classify),723,$145296187.30
200900A,233320,Commercial and Institutional Building Construction (1997 NAICS),443,$840767899.66
201400A,446120,"Cosmetics, beauty supplies, & perfume stores",1287,$307773896.75
201300A,541214,Payroll services,104,$35020516.00
201200A,423800,"Machinery, equipment, & supplies",854,$893409346.59
200500A,532210,Consumer electronics & appliances rental,650,$527022371.49
200800A,311900,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",286,$99847234.03
201300A,423700,"Hardware, & plumbing & heating equipment  & supplies",219,$347971674.00
200800A,541910,Market research & public opinion polling,195,$121626704.00
201000A,812112,Beauty salons,401,$11695624.30
200700A,446190,Other health & personal care stores,230,$74453597.00
201400A,621210,Offices of dentists,418,$120503018.11
201300A,711510,"Independent artists, writers, & performers",14505,$1412657547.55
201400A,811430,Footwear & leather goods repair,175,$10097786.00
200600A,517000,Telecommunications,148,$1004379150.00
200600A,445310,"Beer, wine & liquor stores",419,$133691366.00
200500A,448140,Family clothing stores,414,$356820994.45
201000A,621400,Outpatient  care centers,373,$207851734.00
200900A,235610,"Roofing, Siding, and Sheet Metal Contractors (1997 NAICS)",408,$182136983.00
201400A,561621,Security Systems Services (except locksmiths),7,$26012.00
200600A,445230,Fruit & vegetable markets,439,$1021414851.00
201400A,238290,Other building equipment contractors,389,$301771579.00
201200A,721100,"Traveler accommodation (including hotels, motels, & bed & breakfast inns)",685,$1282979506.54
201300A,424600,Chemical & allied products,239,$1578769712.00
201100A,451120,"Hobby, toy, & game stores",201,$97332845.00
201100A,441229,All other motor vehicle dealers,397,$638375004.00
201400A,424100,Paper & paper products,245,$271712176.00
200900A,315000,Apparel mfg.,3079,$783032895.15
200900A,425120,Wholesale trade agents & brokers,1177,$792990090.00
201100A,711510,"Independent artists, writers, & performers",11770,$930907770.95
200500A,532290,Other consumer goods rental,1344,$249255061.54
201100A,441120,Used car dealers,560,$101658353.00
200500A,311800,Bakeries & tortilla mfg.,289,$74191670.00
200700A,441120,Used car dealers,202,$63609589.00
201000A,532290,Other consumer goods rental,3160,$690681748.47
200600A,561440,Collection agencies,84,$51586381.00
200600A,423700,"Hardware, & plumbing & heating equipment  & supplies",145,$310275009.00
200800A,711100,Performing arts companies,287,$214636519.00
200500A,561790,Other services to buildings & dwellings,399,$14358122.80
200700A,517000,Telecommunications,162,$1084294616.00
200600A,115310,Support activities for forestry,83,$2661324.00
200900A,311400,Fruit & vegetable preserving & speciality food mfg.,142,$83285655.00
201300A,624410,Child day care services,2086,$156994435.29
201400A,713900,"Other amusement & recreation services (including golf courses, skiing facilities, marinas, fitness centers, bowling centers, skating rinks, miniature golf courses)",1635,$431331525.33
201200A,238340,Tile & terrazzo contractors,248,$39656249.50
201100A,541211,Offices of certified public accountants,625,$398513584.00
200900A,326000,Plastics & rubber products mfg.,77,$18233718.00
201300A,452000,General merchandise stores,4837,$2788228195.74
201400A,561490,"Other business support services (including repossession services, court reporting, & stenotype services)",867,$189450199.95
200700A,443111,Household appliance stores,281,$207601503.10
201100A,454390,"Other direct selling establishments (including door-to-door retailing, frozen food plan providers, party plan merchandisers, & coffee-break service providers)",3467,$1183057351.38
200600A,541990,"All other professional, scientific, & technical services",3163,$296115471.09
201100A,452000,General merchandise stores,4142,$2418099223.60
200800A,238290,Other building equipment contractors,238,$219684536.00
200800A,621310,Offices of chiropractors,558,$80435737.66
201100A,562000,Waste management & remediation services,203,$164980309.00
200500A,621900,"Other ambulatory health care services (including ambulance services, blood, & organ banks)",45,$1600876050.00
201200A,235420,"Drywall, Plastering, Acoustical, and Insulation Contractors (1997 NAICS)",515,$155393601.00
200600A,485300,Taxi & limousine service,143,$1027186.00
201000A,624310,Vocational rehabilitation services,61,$13017595.00
200900A,424600,Chemical & allied products,241,$1009934791.00
201400A,518111,Internet service providers,249,$811061199.00
201100A,423940,"Jewelry, watch, precious stone, & precious metals",2372,$960361770.06
201300A,493100,Warehousing & storage (except leases of mini warehouses & self-storage units),1127,$562416584.40
201300A,234110,Highway and Street Construction (1997 NAICS),44,$258107125.00
200800A,532220,Formal wear & costume rental,119,$27519253.00
200600A,541600,"Management, scientific, & technical consulting services",6005,$1164348877.15
200800A,444120,Paint & wallpaper stores,76,$25675833.00
200600A,238290,Other building equipment contractors,187,$199360169.88
201000A,532400,Commercial & industrial machinery & equipment rental & leasing,292,$644541340.96
200700A,451120,"Hobby, toy, & game stores",170,$86478672.00
201200A,522100,"Depository credit intermediation (including commercial banking, savings institutions, & credit unions)",87,$17759560.00
200800A,423200,Furniture &  home furnishing,423,$287041485.00
201000A,711300,"Promoters of performing arts, sports, & similar events",1853,$1345580370.18
200900A,611000,"Educational services (including schools, colleges, & universities)",2405,$586569949.50
200800A,522200,Nondepository credit intermediation (including sales financing & consumer lending),504,$146252466.00
201200A,517000,Telecommunications,182,$1214589518.60
201400A,523140,Commodity contracts brokers,30,$24321337.00
200800A,561430,Business service centers (including private mail centers & copy shops),307,$128943150.00
201000A,561710,Exterminating & pest control services,199,$65646576.00
200600A,541930,Translation & interpretation services,72,$6482758.20
201400A,424500,Farm product raw materials,48,$113711987.00
201100A,512100,Motion picture & video industries (except video rental),7557,$6728016976.15
200700A,446110,Pharmacies & drug stores,490,$2616415912.00
200600A,453920,Art dealers,225,$3845535.74
201000A,513330,Telecommunications Resellers,6,$5481408.00
201100A,234120,Bridge and Tunnel Construction (1997 NAICS),97,$44479497.00
201200A,561730,Landscaping services,3400,$110265024.00
201100A,443112,"Radio, television, & other electronics stores",819,$404667367.00
201000A,811190,Other automotive repair & maintenance (including oil change & lubrication shops & car washes),654,$65898751.00
201200A,453110,Florists,442,$50147604.00
200800A,441222,Boat dealers,36,$18590809.00
201000A,324100,Petroleum & coal products mfg.,16,$42051159.00
201000A,445100,Grocery stores (including supermarkets & convenience stores without gas),1503,$4811319118.00
201100A,624100,Individual & family services,935,$62858981.37
201300A,335000,"Electrical equipment, appliance, & component mfg.",535,$144728155.93
200700A,445220,Fish & seafood markets,26,$10796732.00
200900A,446110,Pharmacies & drug stores,507,$3006419332.50
201200A,235930,Excavation Contractors (1997 NAICS),62,$45172510.00
200700A,541920,Photographic services,1572,$149294098.90
201300A,,,116387,$29202097407.28
200800A,333000,Machinery mfg.,70,$73476566.00
201200A,454113,Mail-order houses,67,$29223269.00
201000A,445210,Meat markets,97,$38290378.00
201400A,812112,Beauty salons,1253,$50140672.61
201400A,621391,Offices of podiatrists,107,$26850274.00
200900A,561490,"Other business support services (including repossession services, court reporting, & stenotype services)",765,$134083317.61
201300A,541400,"Specialized design services (including interior, industrial, graphic, & fashion design)",5278,$517325029.11
201400A,445290,Home furnishings stores,645,$446128361.00
200600A,721310,Rooming & boarding houses,249,$202869542.66
200500A,541400,"Specialized design services (including interior, industrial, graphic, & fashion design)",1446,$178322649.85
200500A,314000,Textile product mills,253,$203906937.96
200500A,711510,"Independent artists, writers, & performers",1981,$206215669.41
200700A,451140,Musical instrument & supplies stores,155,$61358328.50
201100A,541380,Testing laboratories,68,$25563404.00
200500A,424940,Tobacco & tobacco products,63,$84669718.17
201000A,621320,Offices of optometrists,162,$46112753.00
201000A,339110,Medical equipment & supplies mfg.,343,$140115615.00
201400A,441120,Used car dealers,922,$256687073.00
201400A,454111,Electronic shopping,473,$41927817.86
201000A,234120,Bridge and Tunnel Construction (1997 NAICS),92,$57395747.00
200500A,541100,Legal services,4494,$5608723243.19
200500A,441110,New car dealers,352,$3626976772.14
200700A,812310,Coin-operated laundries & drycleaners,475,$80430838.00
201400A,331000,Primary metal mfg.,80,$17762829.00
201000A,722211,Limited-service eating places,1008,$310507524.92
200500A,335000,"Electrical equipment, appliance, & component mfg.",50,$16232851.21
200900A,711300,"Promoters of performing arts, sports, & similar events",1755,$1264752440.30
200600A,561210,Facilities support (management) services,62,$34459869.00
201000A,888888,Medical Marijuana Collective,311,$46176912.00
200500A,722211,Limited-service eating places,208,$70919338.00
201200A,561500,Travel arrangement & reservation services,6561,$770851471.00
200600A,888888,Medical Marijuana Collective,119,$667912.00
200800A,713900,"Other amusement & recreation services (including golf courses, skiing facilities, marinas, fitness centers, bowling centers, skating rinks, miniature golf courses)",916,$320669405.62
200500A,339900,Other miscellaneous mfg.,228,$88018334.00
200600A,711300,"Promoters of performing arts, sports, & similar events",1454,$1238534454.10
200600A,444130,Hardware stores,482,$757498407.24
200700A,541400,"Specialized design services (including interior, industrial, graphic, & fashion design)",2430,$277673493.57
200800A,541360,Geophysical surveying & mapping services,23,$3530917.00
201300A,484200,Specialized freight trucking (including household moving vans),178,$5684050.00
201300A,561710,Exterminating & pest control services,251,$74243966.00
201300A,322000,Paper mfg.,83,$34158328.00
200500A,445100,Grocery stores (including supermarkets & convenience stores without gas),1289,$3748406308.99
201200A,621400,Outpatient  care centers,443,$292008392.38
200600A,445100,Grocery stores (including supermarkets & convenience stores without gas),1367,$3903556215.00
201100A,812210,Funeral homes & funeral services,56,$19197442.00
201300A,424940,Tobacco & tobacco products,451,$87009318.00
